be	was	been	быть
become	became	become	становиться
begin	began	begun	начинать
break	broke	broken	ломать
bring	brought	brought	приносить
build	built	built	строить
buy	bought	bought	покупать
can	could	—	мочь
catch	caught	caught	поймать
choose	chose	chosen	выбирать
come	came	come	прийти
cost	cost	cost	стоить
cut	cut	cut	резать
do	did	done	делать
drink	drank	drunk	пить
drive	drove	driven	водить
eat	ate	eaten	есть
fall	fell	fallen	падать
feel	felt	felt	чувствовать
fight	fought	fought	драться
find	found	found	искать
fly	flew	flown	летать
forget	forgot	forgotten	забывать
get	got	got	получать
give	gave	given	давать
go	went	gone	ходить
have	had	had	иметь
hear	heard	heard	слушать
hit	hit	hit	ударить
keep	kept	kept	держать
know	knew	known	знать
leave	left	left	уходить
lose	lost	lost	терять
make	made	made	делать
meet	met	met	встречать
mean	meant	meant	означать
pay	paid	paid	платить
put	put	put	класть
read	read	read	читать
run	ran	run	бежать
say	said	said	сказать
see	saw	seen	видеть
send	sent	sent	отправлять
sing	sang	sung	петь
shoot	shot	shot	стрелять
sit	sat	sat	сидеть
sleep	slept	slept	спать
speak	spoke	spoken	говорить
spend	spent	spent	проводить
stand	stood	stood	стоять
swim	swam	swum	плавать
teach	taught	taught	учить
take	took	taken	брать
tell	told	told	рассказывать
think	thought	thought	думать
understand	understood	understood	понимать
wake	woke	woken	будить
wear	wore	worn	носить
win	won	won	выигрывать
write	wrote	written	писать
